"Cohort","Replication","KNN","LR","MLP"
"TCGA-HNSC","24","0.5","0.582716049382716","0.274074074074074"
"TCGA-HNSC","25","0.5","0.661728395061729","0.48395061728395"
"TCGA-HNSC","26","0.5","0.540740740740741","0.417283950617284"
"TCGA-HNSC","27","0.425925925925926","0.671604938271605","0.308641975308642"
"TCGA-HNSC","28","0.5","0.967901234567901","0.417283950617284"
"TCGA-HNSC","29","0.5","0.530864197530864","0.464197530864197"
"TCGA-HNSC","30","0.5","0.822222222222222","0.446913580246914"
"TCGA-HNSC","31","0.5","0.622222222222222","0.582716049382716"
"TCGA-HNSC","32","0.5","0.728395061728395","0.77283950617284"
"TCGA-HNSC","33","0.5","0.839506172839506","0.414814814814815"
"TCGA-HNSC","34","0.5","0.701234567901235","0.377777777777778"
"TCGA-HNSC","35","0.5","0.5","0.271604938271605"
"TCGA-HNSC","36","0.5","0.511111111111111","0.481481481481481"
"TCGA-HNSC","37","0.5","0.479012345679013","0.516049382716049"
"TCGA-HNSC","38","0.5","0.762962962962963","0.306172839506173"
"TCGA-HNSC","39","0.5","0.595061728395062","0.481481481481482"
"TCGA-HNSC","40","0.5","0.728395061728395","0.409876543209877"
"TCGA-HNSC","41","0.5","0.5","0.565432098765432"
"TCGA-HNSC","42","0.5","0.649382716049383","0.37037037037037"
"TCGA-HNSC","43","0.5","0.846913580246914","0.528395061728395"
"TCGA-HNSC","44","0.5","0.451851851851852","0.528395061728395"
"TCGA-HNSC","45","0.5","0.57283950617284","0.646913580246914"
"TCGA-HNSC","46","0.5","0.849382716049383","0.728395061728395"
"TCGA-HNSC","47","0.5","0.587654320987654","0.538271604938272"
"TCGA-HNSC","48","0.5","0.493827160493827","0.540740740740741"
"TCGA-HNSC","49","0.5","0.535802469135803","0.54320987654321"
"TCGA-HNSC","50","0.5","0.8","0.34320987654321"
"TCGA-HNSC","51","0.5","0.422222222222222","0.246913580246914"
"TCGA-HNSC","52","0.5","0.560493827160493","0.451851851851852"
"TCGA-HNSC","53","0.5","0.767901234567902","0.439506172839506"
"TCGA-HNSC","54","0.5","0.5","0.362962962962963"
"TCGA-HNSC","55","0.5","0.597530864197531","0.493827160493827"
"TCGA-HNSC","56","0.5","0.748148148148148","0.533333333333333"
"TCGA-HNSC","57","0.5","0.641975308641975","0.402469135802469"
"TCGA-HNSC","58","0.5","0.706172839506173","0.65679012345679"
"TCGA-HNSC","59","0.5","0.528395061728395","0.698765432098766"
"TCGA-HNSC","60","0.5","0.807407407407407","0.592592592592593"
"TCGA-HNSC","61","0.5","0.755555555555556","0.560493827160494"
"TCGA-HNSC","62","0.5","0.861728395061728","0.479012345679012"
"TCGA-HNSC","63","0.5","0.5","0.560493827160494"
"TCGA-HNSC","64","0.5","0.77037037037037","0.582716049382716"
"TCGA-HNSC","65","0.5","0.827160493827161","0.77037037037037"
"TCGA-HNSC","66","0.5","0.617283950617284","0.293827160493827"
"TCGA-HNSC","67","0.5","0.553086419753086","0.60246913580247"
"TCGA-HNSC","68","0.5","0.824691358024691","0.37037037037037"
"TCGA-HNSC","69","0.5","0.641975308641975","0.355555555555555"
"TCGA-HNSC","70","0.5","0.691358024691358","0.718518518518519"
"TCGA-HNSC","71","0.5","0.725925925925926","0.353086419753086"
"TCGA-HNSC","72","0.5","0.753086419753087","0.711111111111112"
"TCGA-HNSC","73","0.5","0.723456790123457","0.550617283950617"
"TCGA-HNSC","74","0.5","0.42962962962963","0.681481481481481"
"TCGA-HNSC","75","0.5","0.730864197530864","0.575308641975309"
"TCGA-HNSC","76","0.65679012345679","0.777777777777778","0.674074074074074"
"TCGA-HNSC","77","0.5","0.77037037037037","0.565432098765432"
"TCGA-HNSC","78","0.5","0.785185185185185","0.68641975308642"
"TCGA-HNSC","79","0.5","0.560493827160494","0.434567901234568"
"TCGA-HNSC","80","0.5","0.5","0.498765432098765"
"TCGA-HNSC","81","0.5","0.691358024691358","0.402469135802469"
"TCGA-HNSC","82","0.5","0.723456790123457","0.725925925925926"
"TCGA-HNSC","83","0.5","0.767901234567901","0.641975308641976"
"TCGA-HNSC","84","0.5","0.71358024691358","0.567901234567902"
"TCGA-HNSC","85","0.5","0.5","0.553086419753086"
"TCGA-HNSC","86","0.5","0.725925925925926","0.723456790123457"
"TCGA-HNSC","87","0.5","0.730864197530864","0.439506172839506"
"TCGA-HNSC","88","0.5","0.641975308641975","0.528395061728395"
"TCGA-HNSC","89","0.5","0.627160493827161","0.31358024691358"
"TCGA-HNSC","90","0.5","0.745679012345679","0.380246913580247"
"TCGA-HNSC","91","0.5","0.474074074074074","0.528395061728395"
"TCGA-HNSC","92","0.5","0.859259259259259","0.42962962962963"
"TCGA-HNSC","93","0.5","0.5","0.745679012345679"
"TCGA-HNSC","94","0.5","0.508641975308642","0.259259259259259"
"TCGA-HNSC","95","0.5","0.688888888888889","0.706172839506173"
"TCGA-HNSC","96","0.5","0.681481481481482","0.498765432098766"
"TCGA-HNSC","97","0.5","0.824691358024691","0.839506172839506"
"TCGA-HNSC","98","0.5","0.5","0.4"
"TCGA-HNSC","99","0.5","0.590123456790123","0.48641975308642"
"TCGA-HNSC","100","0.5","0.688888888888889","0.42716049382716"
"TCGA-KICH","1","0.763888888888889","0.5","0.888888888888889"
"TCGA-KICH","2","0.638888888888889","0.666666666666667","0.666666666666667"
"TCGA-KICH","3","0.694444444444444","0.5","0.777777777777778"
"TCGA-KICH","4","0.569444444444444","0.694444444444444","0.638888888888889"
"TCGA-KICH","5","0.333333333333333","0.694444444444444","0.5"
"TCGA-KICH","6","0.513888888888889","0.777777777777778","0.833333333333333"
"TCGA-KICH","7","0.583333333333333","0.5","0.888888888888889"
"TCGA-KICH","8","0.638888888888889","0.805555555555556","0.666666666666667"
